##african
Name | g
Kofi | m
Kwame | m
Mensah | m
Chinedu | m
Tendai | m
Farai | m
Nnamdi | m
Jabari | m
Abdi | m
Tariq | m
Sekou | m
Moussa | m
Amadou | m
Ousmane | m
Cheikh | m
Lamine | m
Boubacar | m
Ibrahima | m
Modibo | m
Tidiane | m
Souleymane | m
Abdoulaye | m
Demba | m
Samba | m
Mamadu | m
Alassane | m
Tierno | m
Bakary | m
Yaya | m
Kojo | m
Yaw | m
Kwabena | m
Kwaku | m
Kwasi | m
Kweku | m
Kobina | m
Ekow | m
Ato | m
Fiifi | m
Jojo | m
Papa | m
Kakra | m
Panyin | m
Tawia | m
Nyame | m
Osei | m
Obi | m
Chidi | m
Emeka | m
Nduka | m
Okey | m
Ike | m
Uche | m
Chima | m
Kelechi | m
Obinna | m
Chibuike | m
Chijioke | m
Chikodi | m
Chimezie | m
Chinonso | m
Chizoba | m
Chukwudi | m
Chukwuemeka | m
Echezona | m
Ifanyi | m
Ikechukwu | m
Nwachukwu | m
Onyekachi | m
Onyekachukwu | m
Onyema | m
Onyemachi | m
Tunde | m
Femi | m
Seyi | m
Kunle | m
Dapo | m
Tayo | m
Wole | m
Yemi | m
Biyi | m
Jide | m
Gbenga | m
Lekan | m
Seun | m
Wale | m
Kola | m
Dele | m
Bayo | m
Sola | m
Gboyega | m
Foluso | m
Yaa | f
Amara | f
Zola | f
Keisha | f
Amina | f
Sekai | f
Mariama | f
Fatoumata | f
Aissatou | f
Khady | f
Adama | f
Coumba | f
Astou | f
Rokhaya | f
Oumy | f
Seynabo | f
Penda | f
Yacine | f
Ndeye | f
Bineta | f
Maimouna | f
Aida | f
Aminata | f
Hawa | f
Safietou | f
Mariem | f
Sokhna | f
Diariatou | f
Djeneba | f
Fanta | f
Ama | f
Efua | f
Abena | f
Akua | f
Afua | f
Akosua | f
Araba | f
Esi | f
Baaba | f
Nana | f
Adwoa | f
Abiba | f
Asantewaa | f
Ohemaa | f
Serwaa | f
Chioma | f
Ada | f
Ngozi | f
Chinyere | f
Nkechi | f
Ify | f
Adaeze | f
Adaku | f
Adanna | f
Akuchi | f
Amadi | f
Amarachi | f
Chiamaka | f
Chidera | f
Chidinma | f
Chika | f
Chinwe | f
Ebere | f
Ebele | f
Ezinne | f
Ifunanya | f
Ijeoma | f
Sade | f
Yetunde | f
Funmi | f
Bisi | f
Ronke | f
Nike | f
Tola | f
Folake | f
Dupe | f
Kemi | f
Bola | f
Toyin | f
Joke | f
Funke | f
Lola | f
Simi | f
Wunmi | f
Titi | f
Adetunde | m
Adeyemi | m
Adesola | m
Adekemi | m
Adebola | m
Adefemi | m
Adekunle | m
Adebayo | m
Adeseun | m
Adenike | m
Adeade | m
Adeola | m
Adegbo | m
Olutunde | m
Oluyemi | m
Olusola | m
Olukemi | m
Olubola | m
Olufemi | m
Olukunle | m
Olubayo | m
Oluseun | m
Olunike | m
Oluade | m
Oluola | m
Olugbo | m
Oluwatunde | m
Oluwayemi | m
Oluwasola | m
Oluwakemi | m
Oluwabola | m
Oluwafemi | m
Oluwakunle | m
Oluwabayo | m
Oluwaseun | m
Oluwanike | m
Oluwaade | m
Oluwaola | m
Oluwagbo | m
Folatunde | m
Folayemi | m
Folasola | m
Folakemi | m
Folabola | m
Folafemi | m
Folakunle | m
Folabayo | m
Folaseun | m
Folanike | m
Folaade | m
Folaola | m
Folagbo | m
Damiltunde | m
Damilyemi | m
Damilsola | m
Damilkemi | m
Damilbola | m
Damilfemi | m
Damilkunle | m
Damilbayo | m
Damilseun | m
Damilnike | m
Damilade | m
Damilola | m
Damilgbo | m
Tenitunde | m
Teniyemi | m
Tenisola | m
Tenikemi | m
Tenibola | m
Tenifemi | m
Tenikunle | m
Tenibayo | m
Teniseun | m
Teninike | m
Teniade | m
Teniola | m
Tenigbo | m
Tayotunde | m
Tayoyemi | m
Tayosola | m
Tayokemi | m
Tayobola | m
Tayofemi | m
Tayokunle | m
Tayobayo | m
Tayoseun | m
Tayonike | m
Tayoade | m
Tayoola | m
Tayogbo | m
Yemitunde | m
Yemiyemi | m
Yemisola | m
Yemikemi | m
Yemibola | m
Yemifemi | m
Yemikunle | m
Yemibayo | m
Yemiseun | m
Yeminike | m
Yemiade | m
Yemiola | m
Yemigbo | m
Seyitunde | m
Seyiyemi | m
Seyisola | m
Seyikemi | m
Seyibola | m
Seyifemi | m
Seyikunle | m
Seyibayo | m
Seyiseun | m
Seyinike | m
Seyiade | m
Seyiola | m
Seyigbo | m
Bodetunde | m
Bodeyemi | m
Bodesola | m
Bodekemi | m
Bodebola | m
Bodefemi | m
Bodekunle | m
Bodebayo | m
Bodeseun | m
Bodenike | m
Bodeade | m
Bodeola | m
Bodegbo | m
Kayodetunde | m
Kayodeyemi | m
Kayodesola | m
Kayodekemi | m
Kayodebola | m
Kayodefemi | m
Kayodekunle | m
Kayodebayo | m
Kayodeseun | m
Kayodenike | m
Kayodeade | m
Kayodeola | m
Kayodegbo | m
Chukwuma | m
Chukwuoma | m
Chukwunonso | m
Chukwundu | m
Chukwuka | m
Chukwuere | m
Chukwuchi | m
Chukwunma | m
Chukwuamaka | m
Chukwuna | m
Chukwumka | m
Chukwubuchi | m
Chinyoma | m
Chinynonso | m
Obidi | m
Obima | m
Obioma | m
Obinonso | m
Obindu | m
Obika | m
Obiere | m
Obichi | m
Obinma | m
Obiamaka | m
Obina | m
Obimka | m
Obibuchi | m
Chindu | m
Chiere | m
Chichi | m
Chinma | m
China | m
Chimka | m
Chibuchi | m
Ngodi | m
