##indian
Name | g
Amit | m
Rahul | m
Rajesh | m
Sanjay | m
Deepak | m
Vikram | m
Rohan | m
Karan | m
Aditya | m
Arjun | m
Aarav | m
Vijay | m
Anil | m
Sunil | m
Ramesh | m
Suresh | m
Dinesh | m
Harish | m
Mahesh | m
Naresh | m
Ashok | m
Ajay | m
Abhishek | m
Alok | m
Sandip | m
Pradeep | m
Dilip | m
Vivek | m
Gaurav | m
Manish | m
Pankaj | m
Rajeev | m
Sanjeev | m
Sudhir | m
Vinay | m
Vikas | m
Sachin | m
Sourav | m
Kapil | m
Ravi | m
Rakesh | m
Manoj | m
Jay | m
Siddharth | m
Varun | m
Ishaan | m
Kabir | m
Reyansh | m
Vihaan | m
Atharv | m
Vivaan | m
Krishna | m
Hari | m
Gopal | m
Madhav | m
Keshav | m
Ram | m
Lakshman | m
Bharat | m
Shatrughan | m
Dev | m
Raj | m
Prem | m
Anand | m
Kalyan | m
Mohan | m
Shankar | m
Vishnu | m
Kartik | m
Ganesh | m
Indra | m
Surya | m
Chandra | m
Agni | m
Varuna | m
Vayu | m
Yama | m
Kailash | m
Amarnath | m
Kedarnath | m
Badrinath | m
Somnath | m
Srinivas | m
Venkatesh | m
Balaji | m
Govind | m
Damodar | m
Janardan | m
Mukund | m
Sridhar | m
Raghav | m
Priya | f
Sunita | f
Anjali | f
Neha | f
Pooja | f
Kiran | f
Divya | f
Aanya | f
Diya | f
Isha | f
Riya | f
Sanya | f
Aaradhya | f
Myra | f
Saisha | f
Ananya | f
Prisha | f
Kiara | f
Navya | f
Avani | f
Sania | f
Meera | f
Radha | f
Rukmini | f
Satyabhama | f
Lalita | f
Visakha | f
Gopi | f
Yamuna | f
Ganga | f
Saraswati | f
Lakshmi | f
Parvati | f
Durga | f
Kali | f
Sita | f
Draupadi | f
Kunti | f
Gandhari | f
Subhadra | f
Shakuntala | f
Damayanti | f
Savitri | f
Anasuya | f
Ahilya | f
Tara | f
Mandodari | f
Urmila | f
Shrutakirti | f
Mandavi | f
Kausalya | f
Kaikeyi | f
Sumitra | f
Devaki | f
Yasoda | f
Rohini | f
Revati | f
Satyavati | f
Amba | f
Ambika | f
Ambalika | f
Menaka | f
Rambha | f
Urvashi | f
Tilottama | f
Alamelu | f
Andal | f
Avvaiyar | f
Kannagi | f
Manimekalai | f
Sanghamitta | f
Charumati | f
Rajashree | f
Vasundhara | f
Indira | f
Sarojini | f
Sucheta | f
Aruna | f
Padmaja | f
Kanak | f
Kusum | f
Lata | f
Asha | f
Usha | f
Nisha | f
Sandhya | f
Arti | f
Jyoti | f
Rupa | f
Sona | f
Hema | f
Rekha | f
Jaya | f
Sushma | f
Mamta | f
Seema | f
Rajendra | m
Rajkumar | m
Rajdev | m
Rajanand | m
Rajdeep | m
Rajal | m
Rajjeet | m
Rajpreet | m
Rajnath | m
Rajkrishna | m
Rajkant | m
Rajlal | m
Rajpal | m
Rajsingh | m
Rajsen | m
Rajdutt | m
Rajgupta | m
Ramendra | m
Ramkumar | m
Ramdev | m
Ramanand | m
Ramdeep | m
Ramal | m
Ramjeet | m
Rampreet | m
Ramnath | m
Ramkrishna | m
Ramkant | m
Ramlal | m
Rampal | m
Ramsingh | m
Ramsen | m
Ramdutt | m
Ramgupta | m
Devesh | m
Devendra | m
Devkumar | m
Devanand | m
Devdeep | m
Deval | m
Devjeet | m
Devpreet | m
Devnath | m
Devkrishna | m
Devkant | m
Devlal | m
Devpal | m
Devsingh | m
Devsen | m
Devdutt | m
Devgupta | m
Hariesh | m
Hariendra | m
Harikumar | m
Haridev | m
Harianand | m
Harideep | m
Harial | m
Harijeet | m
Haripreet | m
Harinath | m
Harikrishna | m
Harikant | m
Harilal | m
Haripal | m
Harisingh | m
Harisen | m
Haridutt | m
Harigupta | m
Vijayesh | m
Vijayendra | m
Vijaykumar | m
Vijaydev | m
Vijayanand | m
Vijaydeep | m
Vijayal | m
Vijayjeet | m
Vijaypreet | m
Vijaynath | m
Vijaykrishna | m
Vijaykant | m
Vijaylal | m
Vijaypal | m
Vijaysingh | m
