##italian
Name | g
Giuseppe | m
Giovanni | m
Antonio | m
Mario | m
Luigi | m
Francesco | m
Angelo | m
Vincenzo | m
Pietro | m
Salvatore | m
Carlo | m
Domenico | m
Michele | m
Giorgio | m
Aldo | m
Paolo | m
Roberto | m
Alessandro | m
Marco | m
Stefano | m
Gianluca | m
Andrea | m
Luca | m
Davide | m
Filippo | m
Matteo | m
Lorenzo | m
Gabriele | m
Riccardo | m
Federico | m
Leonardo | m
Mattia | m
Tommaso | m
Edoardo | m
Samuele | m
Christian | m
Diego | m
Simone | m
Alessio | m
Nicolo | m
Valerio | m
Daniele | m
Giacomo | m
Emanuele | m
Fabio | m
Claudio | m
Massimo | m
Maurizio | m
Enrico | m
Piero | m
Renato | m
Alberto | m
Giancarlo | m
Bruno | m
Franco | m
Giulio | m
Cesare | m
Augusto | m
Guido | m
Emilio | m
Arturo | m
Alfredo | m
Ugo | m
Vittorio | m
Sergio | m
Gianni | m
Renzo | m
Enzo | m
Dino | m
Gino | m
Nello | m
Rino | m
Loris | m
Silvio | m
Elio | m
Orlando | m
Marcello | m
Luciano | m
Gennaro | m
Pasquale | m
Carmine | m
Nicola | m
Raffaele | m
Ciro | m
Vito | m
Gaetano | m
Alfio | m
Biagio | m
Calogero | m
Rosario | m
Ferdinando | m
Sebastiano | m
Santo | m
Orazio | m
Adriano | m
Attilio | m
Corrado | m
Ermes | m
Glauco | m
Nerio | m
Ovidio | m
Quinto | m
Sandro | m
Tito | m
Agostino | m
Alceo | m
Aldino | m
Aleandro | m
Alfeo | m
Amadeo | m
Amilcare | m
Amleto | m
Anacleto | m
Araldo | m
Arcangelo | m
Arnaldo | m
Arrigo | m
Aurelio | m
Bonaldo | m
Callisto | m
Duilio | m
Egidio | m
Elpidio | m
Erberto | m
Ermanno | m
Ezio | m
Fausto | m
Geno | m
Giaco | m
Italo | m
Manlio | m
Orfeo | m
Otello | m
Plinio | m
Primo | m
Reno | m
Sabatino | m
Sante | m
Tullio | m
Ubaldo | m
Vasco | m
Virgilio | m
Zoilo | m
Mirko | m
Rinaldo | m
Savino | m
Leone | m
Cosma | m
Gero | m
Zeno | m
Maria | f
Anna | f
Giuseppina | f
Rosa | f
Angela | f
Giovanna | f
Teresa | f
Lucia | f
Carmela | f
Caterina | f
Francesca | f
Elena | f
Chiara | f
Sara | f
Silvia | f
Roberta | f
Laura | f
Simona | f
Alessandra | f
Paola | f
Valentina | f
Federica | f
Giulia | f
Sofia | f
Alice | f
Giorgia | f
Martina | f
Emma | f
Aurora | f
Greta | f
Beatrice | f
Ludovica | f
Ginevra | f
Matilde | f
Noemi | f
Elisa | f
Gaia | f
Nicole | f
Bianca | f
Camilla | f
Arianna | f
Margherita | f
Serena | f
Ilaria | f
Eleonora | f
Michela | f
Cristina | f
Antonella | f
Rita | f
Daniela | f
Patrizia | f
Marina | f
Carla | f
Lidia | f
Luisa | f
Bruna | f
Clara | f
Emilia | f
Ida | f
Irene | f
Ada | f
Olga | f
Wanda | f
Gemma | f
Anita | f
Vittoria | f
Letizia | f
Diana | f
Livia | f
Flavia | f
Cecilia | f
Agata | f
Marta | f
Ines | f
Rachele | f
Orsola | f
Clotilde | f
Ottavia | f
Costanza | f
Ersilia | f
Gilda | f
Assunta | f
Concetta | f
Immacolata | f
Filomena | f
Nunzia | f
Rosaria | f
Grazia | f
Sonia | f
Erica | f
Nadia | f
Tiziana | f
Cinzia | f
Monica | f
Barbara | f
Agostina | f
Brunella | f
Carola | f
Dora | f
Elda | f
Flora | f
Imelda | f
Loredana | f
Milena | f
Nives | f
Ornella | f
Clarissa | f
Libera | f
Luce | f
Vanna | f
Elia | u
Felice | u
Vali | u
Alex | u
Gaby | u
Jona | u
Leo | u
Luka | u
Manu | u
Mika | u
Niko | u
Pat | u
Rene | u
Riki | u
Robin | u
Sacha | u
Sasha | u
Toni | u
Valen | u
Amabile | u
Celeste | u
Fiore | u
Melino | u
Giole | u
Teo | u
Fele | u
