##norse
Name | g
Arnar | m
Arnauda | f
Arna | u
Arnbjorn | m
Arnborg | f
Arnbrand | m
Arndis | f
Arnfinn | m
Arnfrid | f
Arngeir | m
Arngerd | f
Arngils | m
Arngunn | f
Arnhild | f
Arnir | m
Arni | u
Arnlaug | f
Arnleif | m
Arnmundr | m
Arnmund | m
Arnny | f
Arnrid | f
Arnrun | f
Arnr | m
Arnskald | m
Arnstein | m
Arnthor | m
Arnur | m
Arnvald | m
Arnveig | f
Arny | u
Asar | m
Asauda | f
Asa | u
Asbjorn | m
Asborg | f
Asbrand | m
Asdis | f
Asfinn | m
Asfrid | f
Asgeir | m
Asgerd | f
Asgils | m
Asgunn | f
Ashild | f
Asir | m
Asi | u
Aslaug | f
Asleif | m
Asmundr | m
Asmund | m
Asny | f
Asrid | f
Asrun | f
Asr | m
Asskald | m
Asstein | m
Asthor | m
Asur | m
Asvald | m
Asveig | f
Asy | u
Egar | m
Egauda | f
Ega | u
Egbjorn | m
Egborg | f
Egbrand | m
Egdis | f
Egfinn | m
Egfrid | f
Eggeir | m
Eggerd | f
Eggils | m
Eggunn | f
Eghild | f
Egir | m
Egi | u
Eglaug | f
Egleif | m
Egmundr | m
Egmund | m
Egny | f
Egrid | f
Egrun | f
Egr | m
Egskald | m
Egstein | m
Egthor | m
Egur | m
Egvald | m
Egveig | f
Egy | u
Eirar | m
Eirauda | f
Eira | u
Eirbjorn | m
Eirborg | f
Eirbrand | m
Eirdis | f
Eirfinn | m
Eirfrid | f
Eirgeir | m
Eirgerd | f
Eirgils | m
Eirgunn | f
Eirhild | f
Eirir | m
Eiri | u
Eirlaug | f
Eirleif | m
Eirmundr | m
Eirmund | m
Eirny | f
Eirrid | f
Eirrun | f
Eirr | m
Eirskald | m
Eirstein | m
Eirthor | m
Eirur | m
Eirvald | m
Eirveig | f
Eiry | u
Freyar | m
Freyauda | f
Freya | u
Freybjorn | m
Freyborg | f
Freybrand | m
Freydis | f
Freyfinn | m
Freyfrid | f
Freygeir | m
Freygerd | f
Freygils | m
Freygunn | f
Freyhild | f
Freyir | m
Freyi | u
Freylaug | f
Freyleif | m
Freymundr | m
Freymund | m
Freyny | f
Freyrid | f
Freyrun | f
Freyr | m
Freyskald | m
Freystein | m
Freythor | m
Freyur | m
Freyvald | m
Freyveig | f
Freyy | u
Gisar | m
Gisauda | f
Gisa | u
