##polish
Name | g
Jan | m
Andrzej | m
Piotr | m
Krzysztof | m
Stanislaw | m
Tomasz | m
Pawel | m
Jozef | m
Marcin | m
Marek | m
Michal | m
Grzegorz | m
Jerzy | m
Tadeusz | m
Adam | m
Lukasz | m
Zbigniew | m
Ryszard | m
Dariusz | m
Henryk | m
Mariusz | m
Kazimierz | m
Wojciech | m
Robert | m
Mateusz | m
Marian | m
Radoslaw | m
Maciej | m
Jacek | m
Janusz | m
Miroslaw | m
Jaroslaw | m
Sebastian | m
Kamil | m
Roman | m
Wladyslaw | m
Jakub | m
Artur | m
Aleksander | m
Zdzislaw | m
Edward | m
Mieczyslaw | m
Damian | m
Dawid | m
Przemyslaw | m
Daniel | m
Leszek | m
Waldemar | m
Bernard | m
Stefan | m
Ludwik | m
Karol | m
Waclaw | m
Sylwester | m
Krystian | m
Dominik | m
Hubert | m
Gabriel | m
Konrad | m
Wiktor | m
Kacper | m
Filip | m
Igor | m
Cezary | m
Norbert | m
Patryk | m
Adrian | m
Ignacy | m
Leon | m
Antoni | m
Franciszek | m
Klemens | m
Julian | m
Kajetan | m
Maurycy | m
Kornel | m
Emil | m
Gustaw | m
Borys | m
Natan | m
Olaf | m
Bruno | m
Cyprian | m
Eryk | m
Ksawery | m
Seweryn | m
Zenon | m
Bronislaw | m
Maria | f
Krystyna | f
Anna | f
Barbara | f
Teresa | f
Elzbieta | f
Janina | f
Danuta | f
Zofia | f
Halina | f
Irena | f
Ewa | f
Helena | f
Stanislawa | f
Joanna | f
