##ukrainian
Name | g
Oleksandr | m
Dmytro | m
Serhiy | m
Andriy | m
Oleksiy | m
Artem | m
Mykhailo | m
Anton | m
Volodymyr | m
Maksym | m
Ivan | m
Yehor | m
Kyrylo | m
Mykyta | m
Illia | m
Yaroslav | m
Denys | m
Roman | m
Danylo | m
Vladyslav | m
Viktor | m
Vyacheslav | m
Oleh | m
Yuriy | m
Pavlo | m
Mykola | m
Anatoliy | m
Valeriy | m
Ihor | m
Kostiantyn | m
Hryhoriy | m
Leonid | m
Stepan | m
Semen | m
Tymofiy | m
Fedir | m
Hlib | m
Borys | m
Vitaliy | m
Arsen | m
Vadym | m
Stanislav | m
Albert | m
Eduard | m
Matviy | m
Davyd | m
Zakhar | m
Platon | m
Sava | m
Hennadiy | m
Arkadiy | m
Valentyn | m
Yakiv | m
Marko | m
Saveliy | m
Lev | m
Demyd | m
Tykhon | m
Prokhor | m
Petro | m
Vasyl | m
Svyatoslav | m
Rostislav | m
Vsevolod | m
Miroslav | m
Bogdan | m
Ostap | m
Nazariy | m
Hordiy | m
Radomyr | m
Klym | m
Rodion | m
Taras | m
Demyan | m
Hnat | m
Kuzma | m
Makar | m
Pylyp | m
Khariton | m
Naum | m
Kondrat | m
Yukhym | m
Yulian | m
Herman | m
Sofia | f
Mariia | f
Anna | f
Alisa | f
Viktoriia | f
Anastasiia | f
Polina | f
Yelyzaveta | f
Kateryna | f
Kseniia | f
Daryna | f
Oleksandra | f
Veronyka | f
Iryna | f
Maryna | f
Yuliia | f
