##fantasy-neutral
Aelaera | f
Aelal | u
Aeldal | u
Aeldy | u
Aellette | f
Aelman | m
Aelne | u
Aelnorion | m
Aelra | f
Aelrum | u
Aelrwyn | f
Aelsar | m
Aelsum | u
Aelte | u
Aelthur | m
Aeltis | m
Aelvar | m
Aelzon | u
Baradeth | u
Baradette | f
Baradis | f
Baradius | m
Baradorion | m
Baradotta | f
Barado | u
Baradwen | f
Baramal | u
Baramia | f
Baramira | f
Baramorion | m
Baranor | m
Baraon | u
Baraorion | m
Bararax | m
Bararel | u
Bararyn | f
Barasan | m
Barasar | m
Barasis | m
Baratin | m
Baratira | f
Baravan | m
Barazena | f
Beldax | m
Beldis | f
Beldum | u
Belen | u
Bellas | m
Bellel | f
Bellyn | f
Belmia | f
Belmius | m
Belmotta | f
Belnis | f
Belni | u
Belnotta | f
Belno | u
Belrar | m
Belrel | u
Belri | u
Belsic | m
Belson | u
Belsra | f
Belta | f
Belthaera | f
Beltheth | u
Beltic | m
Belto | u
Belvar | m
Belvia | f
Belvius | m
Belvur | m
Bely | u
Belzas | m
Belzelle | f
Belzo | u
Cordelle | f
Cordel | u
Corden | u
Cordira | f
Cordoch | m
Cordon | u
Corlas | m
Corlor | m
Cormena | f
Cormette | f
Cormis | f
Coroch | m
Corrum | u
Corrwen | f
Corsor | m
Cortaera | f
Cortan | m
Corthen | u
Corthin | m
Cortwyn | f
Corvin | m
Corvi | u
Corvysa | f
Corzic | m
Corzo | u
Dhadeth | u
Dhadic | m
Dhadira | f
Dhadum | u
Dhadysa | f
Dhalal | u
Dhame | u
Dhamis | m
Dhanelle | f
Dhanira | f
Dhanotta | f
Dhanwyn | f
Dhasur | m
Dhataera | f
Dhathette | f
Dhatin | m
Dhatis | f
Dhati | u
Dhatotta | f
Dhatum | u
Dhaur | m
Dhaus | m
Dhavra | f
Dhazax | m
Dhazelle | f
Dhazum | u
Dradal | u
Drade | u
Drado | u
Dranwyn | f
Draotta | f
Drarette | f
Draror | m
Dratette | f
Drathira | f
Drathra | f
Dravelle | f
Dravoch | m
Drazeth | u
Drazis | u
Drazyn | f
Elddath | m
Eldde | u
Eldli | u
Eldmax | m
Eldmis | f
Eldnorion | m
Eldnus | m
Eldrette | f
Eldrira | f
Eldrorion | m
Eldsax | m
Eldsius | m
Eldsyn | f
Eldtaera | f
Eldten | m
Eldthath | m
Eldthia | f
Eldthor | m
Eldtoch | m
Eldval | u
Eldvis | m
Eldzette | f
Eldzin | m
Eldzira | f
Eldzwen | f
Elidoch | m
Elido | u
Eliena | f
Eliic | m
Elilo | u
Elilus | m
Elimath | m
Elimeth | u
Elimin | m
Elimy | u
Elinel | u
Elinoch | m
Elinon | m
Elirath | m
Elirelle | f
Elirel | f
Elirette | f
Elirum | u
Elithen | m
Elithin | m
Elitic | m
Eliti | u
Eliven | m
Elivotta | f
Elivwyn | f
Elizal | u
Elizan | m
Elizi | u
Elizo | u
Faeraera | f
Faerdi | u
Faerius | m
Faerlelle | f
Faerlotta | f
Faerly | u
Faerman | m
Faermus | m
Faermwen | f
Faermyn | f
Faeron | m
Faerrel | u
Faerro | u
Faerryn | f
Faerrysa | f
Faersar | m
Faersen | u
Faerse | u
Faersysa | f
Faertath | m
Faertel | u
Faerthel | f
Faerthwen | f
Faerthyn | f
Faertus | m
Faervin | m
Faervur | m
Faervysa | f
Faervy | u
Faerzar | m
Faerzel | f
Faerzen | u
Faerzis | m
Faerzra | f
Faerzysa | f
Fenda | f
Fendon | u
Fendwen | f
Fendy | u
Fenis | f
Fenlaera | f
Fenmath | m
Fenme | u
Fenmira | f
Fennar | m
Fenor | m
Fenrelle | f
Fenrena | f
Fenric | m
Fenron | m
Fenryn | f
Fenry | u
Fensi | u
Fensorion | m
Fenthar | m
Fenthath | m
Fenthic | m
Fenthis | f
Fenthra | f
Fenthysa | f
Fentyn | f
Fenvis | m
Fenvon | u
Fenysa | f
Fenzorion | m
Fenzra | f
Glyndra | f
Glyndus | m
Glyndy | u
Glynlar | m
Glynlax | m
Glynlwen | f
Glynmis | m
Glynnar | m
Glynnia | f
Glynra | f
Glynria | f
Glynron | m
Glynsas | m
Glynsia | f
Glynsi | u
Glynton | u
Glynvax | m
Glynza | f
Glynzis | m
Glynzus | m
Goraera | f
Gordel | u
Gordis | f
Gordor | m
Gordur | m
Gorlel | f
Gorleth | u
Gorlwen | f
Gormic | m
Gornena | f
Goroch | m
Gorras | m
Gorra | f
Gorren | m
Gorselle | f
Gorsin | m
Gorsus | m
Gorthis | f
Gorthorion | m
Gortoch | m
Gortur | m
Gorvelle | f
Gorvum | u
Gorzelle | f
Gorzel | u
Gorzen | m
Gorzin | m
Gorzius | m
Gorzysa | f
