##german
Name | g
Hans | m
Karl | m
Peter | m
Walter | m
Heinz | m
Wilhelm | m
Kurt | m
Otto | m
Paul | m
Ernst | m
Heinrich | m
Fritz | m
Rudolf | m
Richard | m
Werner | m
Gerhard | m
Alfred | m
Erich | m
Friedrich | m
Herbert | m
Helmut | m
Willie | m
Albert | m
Max | m
Martin | m
Thomas | m
Andreas | m
Michael | m
Stefan | m
Christian | m
Alexander | m
Daniel | m
Dennis | m
Sebastian | m
Jan | m
Jonas | m
Leon | m
Lukas | m
Finn | m
Ben | m
Luis | m
Maximilian | m
Felix | m
Noah | m
Elias | m
David | m
Moritz | m
Jakob | m
Emil | m
Anton | m
Oskar | m
Theodor | m
Henry | m
Leo | m
Liam | m
Matteo | m
Luka | m
Milan | m
Arthur | m
Carl | m
Bruno | m
Hugo | m
Konrad | m
Viktor | m
Gregor | m
Hubert | m
Bernhard | m
Roland | m
Dietrich | m
Wolfgang | m
Ulrich | m
Ludwig | m
Gustav | m
Adolf | m
Joachim | m
Klaus | m
Dieter | m
Manfred | m
Horst | m
Uwe | m
Frank | m
Ralf | m
Dirk | m
Sven | m
Holger | m
Torsten | m
Oliver | m
Marco | m
Sascha | m
Heiko | m
Ingo | m
Rainer | m
Bernd | m
Hartmut | m
Anna | f
Maria | f
Martha | f
Elisabeth | f
Gertrud | f
Margarete | f
Helene | f
Erna | f
Frieda | f
Marie | f
Emma | f
Johanna | f
Clara | f
Luise | f
Charlotte | f
Ida | f
Paula | f
Elsa | f
Herta | f
Minna | f
Ursula | f
Karin | f
Monika | f
Gisela | f
Renate | f
Ingrid | f
Helga | f
Brigitte | f
Erika | f
Christa | f
Sabine | f
Petra | f
Andrea | f
Susanne | f
Gabriele | f
Angelika | f
Martina | f
Heike | f
Ute | f
Birgit | f
Sandra | f
Claudia | f
Anja | f
Silke | f
Stefanie | f
Katrin | f
Melanie | f
Nicole | f
Tanja | f
Daniela | f
Julia | f
Sarah | f
Laura | f
Katharina | f
Lisa | f
Christina | f
Jessica | f
Sabrina | f
Jennifer | f
Marina | f
Leonie | f
Hannah | f
Lea | f
Emily | f
Lina | f
Sophia | f
Mia | f
Luisa | f
Emilia | f
Mila | f
Ella | f
Leni | f
Nele | f
Mathilda | f
Pauline | f
Greta | f
Romy | f
Lia | f
Lotte | f
Maja | f
Helena | f
Alina | f
Theresa | f
Rosalie | f
Marlene | f
Victoria | f
Antonia | f
Elisa | f
Finja | f
Isabell | f
Annegret | f
Brunhilde | f
Eike | u
Gabi | u
Kai | u
Kim | u
Micha | u
Toni | u
Uli | u
Vali | u
Chris | u
Conny | u
Friedel | u
Gerd | u
Gusti | u
Hanne | u
Hele | u
Janne | u
Jona | u
Joris | u
Kari | u
Mika | u
Niko | u
Renny | u
Riki | u
Robin | u
Sigi | u
Steffi | u
Sunny | u
Willi | u
Alex | u
Berni | u
Didi | u
Elly | u
Francis | u
Gigi | u
Gitta | u
Hansi | u
Ilja | u
Isa | u
Janis | u
Jesper | u
Josie | u
Kelly | u
Mani | u
Manu | u
Matti | u
Merle | u
Mischa | u
Nicki | u
Ola | u
Olli | u
Pat | u
Puck | u
Sammy | u
Sandy | u
Stevie | u
Telly | u
Theo | u
Tilli | u
Tommy | u
Ulli | u
Valentin | u
Vally | u
Wally | u
Winn | u
Yannick | u
Yona | u
Zoe | u
Arian | u
Bela | u
Clemens | u
Eberhardt | u
Enno | u
Falk | u
Frido | u
Gereon | u
Hauke | u
Imme | u
Keke | u
Lasse | u
Lutz | u
Malte | u
Ole | u
Sonke | u
Thilo | u
Tjark | u
Veit | u
Wido | u
Wulf | u
Gere | u
Hatto | u
Heino | u
Ludo | u
Reiko | u
Armin | m
Bastian | m
Carsten | m
Dominik | m
Fabian | m
Florian | m
Hendrik | m
Karsten | m
Lars | m
Manuel | m
Nils | m
Philipp | m
Reinhard | m
Steffen | m
Tobias | m
Volker | m
Winfried | m
Ansgar | m
Gero | m
Almut | f
Beate | f
