##greek
Name | g
Andreas | m
Dimitris | m
Giorgos | m
Kostas | m
Giannis | m
Spyros | m
Nikos | m
Petros | m
Alexandros | m
Yannis | m
Constantine | m
Theodore | m
Stavros | m
Vassilis | m
Panagiotis | m
Ioannis | m
Michalis | m
Athanasios | m
Evangelos | m
Christos | m
Angelos | m
Leonidas | m
Stelios | m
Manolis | m
Grigorios | m
Haris | m
Stathis | m
Stefanos | m
Thomas | m
Filippos | m
Pavlos | m
Antonios | m
Dimos | m
Nestor | m
Odysseas | m
Achilleas | m
Nektarios | m
Vasileios | m
Apostolos | m
Christoforos | m
Emmanouil | m
Charalampos | m
Sotirios | m
Kyriakos | m
Maria | f
Elpida | f
Eleni | f
Sofia | f
Katerina | f
Fotini | f
Anastasia | f
Georgia | f
Anna | f
Dimitra | f
Angeliki | f
Vassiliki | f
Panagiota | f
Ioanna | f
Michaela | f
Athanasia | f
Evangelia | f
Christina | f
Stella | f
Olga | f
Irini | f
Despina | f
Chrysoula | f
Niki | f
Alexandra | f
Antonia | f
Stavroula | f
Zoi | f
Areti | f
Athena | f
Artemis | f
Aphrodite | f
Hera | f
Demeter | f
Hestia | f
Persephone | f
Leto | f
Rhea | f
Themis | f
Selene | f
Helena | f
Penelope | f
Andromache | f
Hecuba | f
Clytemnestra | f
Electra | f
Iphigenia | f
Antigone | f
Ismene | f
Jocasta | f
Medea | f
Ariadne | f
Phaedra | f
Daphne | f
Chloe | f
Calliope | f
Clio | f
Erato | f
Euterpe | f
Melpomene | f
Polyhymnia | f
Terpsichore | f
Thalia | f
Urania | f
Cassandra | f
Nausicaa | f
Circe | f
Calypso | f
Atalanta | f
Hippolyta | f
Theano | f
Aspasia | f
Sappho | f
Corinna | f
Gianna | f
Andrea | f
Petra | f
Angela | f
Leonida | f
