##italian
Name | g
Giuseppe | m
Giovanni | m
Antonio | m
Mario | m
Luigi | m
Francesco | m
Angelo | m
Vincenzo | m
Pietro | m
Salvatore | m
Carlo | m
Domenico | m
Michele | m
Giorgio | m
Aldo | m
Paolo | m
Roberto | m
Alessandro | m
Marco | m
Stefano | m
Gianluca | m
Andrea | m
Luca | m
Davide | m
Filippo | m
Matteo | m
Lorenzo | m
Gabriele | m
Riccardo | m
Federico | m
Leonardo | m
Mattia | m
Tommaso | m
Edoardo | m
Samuele | m
Christian | m
Diego | m
Simone | m
Alessio | m
Nicolo | m
Valerio | m
Daniele | m
Giacomo | m
Emanuele | m
Fabio | m
Claudio | m
Massimo | m
Maurizio | m
Enrico | m
Piero | m
Renato | m
Alberto | m
Giancarlo | m
Bruno | m
Franco | m
Giulio | m
Cesare | m
Augusto | m
Guido | m
Emilio | m
Arturo | m
Alfredo | m
Ugo | m
Vittorio | m
Sergio | m
Gianni | m
Renzo | m
Enzo | m
Dino | m
Gino | m
Nello | m
Rino | m
Loris | m
Silvio | m
Elio | m
Orlando | m
Dante | m
Geronimo | m
Marcello | m
Luciano | m
Gennaro | m
Pasquale | m
Carmine | m
Nicola | m
Raffaele | m
Ciro | m
Vito | m
Gaetano | m
Alfio | m
Biagio | m
Calogero | m
Rosario | m
Ferdinando | m
Sebastiano | m
Santo | m
Orazio | m
Maria | f
Anna | f
Giuseppina | f
Rosa | f
Angela | f
Giovanna | f
Teresa | f
Lucia | f
Carmela | f
Caterina | f
Francesca | f
Elena | f
Chiara | f
Sara | f
Silvia | f
Roberta | f
Laura | f
Simona | f
Alessandra | f
Paola | f
Valentina | f
Federica | f
Giulia | f
Sofia | f
Alice | f
Giorgia | f
Martina | f
Emma | f
Aurora | f
Greta | f
Beatrice | f
Ludovica | f
Ginevra | f
Matilde | f
Noemi | f
Elisa | f
Gaia | f
Nicole | f
Bianca | f
Camilla | f
Arianna | f
Margherita | f
Serena | f
Ilaria | f
Eleonora | f
Michela | f
Cristina | f
Antonella | f
Rita | f
Daniela | f
Patrizia | f
Marina | f
Carla | f
Lidia | f
Luisa | f
Bruna | f
Clara | f
Emilia | f
Ida | f
Irene | f
Ada | f
Olga | f
Wanda | f
Gemma | f
Anita | f
Vittoria | f
Letizia | f
Diana | f
Livia | f
Flavia | f
Cecilia | f
Agata | f
Marta | f
Ines | f
Rachele | f
Orsola | f
Clotilde | f
Ottavia | f
Constanza | f
Ersilia | f
Gilda | f
Assunta | f
Concetta | f
Immacolata | f
Filomena | f
Nunzia | f
Rosaria | f
Grazia | f
Sonia | f
Erica | f
Nadia | f
Tiziana | f
Cinzia | f
Monica | f
Barbara | f
Elia | u
Felice | u
Gene | u
Vali | u
Alex | u
Chris | u
Gaby | u
Jona | u
Kim | u
Leo | u
Luka | u
Manu | u
Mika | u
Niko | u
Pat | u
Rene | u
Riki | u
Robin | u
Sacha | u
Sammy | u
Sandy | u
Sasha | u
Toni | u
Uli | u
Valen | u
Vanna | u
Vivian | u
Amabile | u
Celeste | u
Fiore | u
Leone | u
Melino | u
Giole | u
Cosma | u
Gero | u
Libera | u
Luce | u
Mirko | u
Pari | u
Rinaldo | u
Savino | u
Teo | u
Zeno | u
Agostino | u
Alceo | u
Aldino | u
Aleandro | u
Alfeo | u
Amadeo | u
Amilcare | u
Amleto | u
Anacleto | u
Araldo | u
Arcangelo | u
Arnaldo | u
Arrigo | u
Aurelio | u
Bonaldo | u
Callisto | u
Camilo | u
Clarissa | u
Duilio | u
Egidio | u
Elpidio | u
Erberto | u
Ermanno | u
Ezio | u
Fausto | u
Fele | u
Fidel | u
Geno | u
Giaco | u
Ilo | u
Italo | u
Manlio | u
Orfeo | u
Otello | u
Plinio | u
Primo | u
Reno | u
Sabatino | u
Sante | u
Tullio | u
Ubaldo | u
Vasco | u
Virgilio | u
Zoilo | u
Zora | u
Adriano | m
Attilio | m
Corrado | m
Ermes | m
Glauco | m
Nerio | m
Ovidio | m
Quinto | m
Sandro | m
Tito | m
Agostina | f
Brunella | f
Carola | f
Dora | f
Elda | f
Flora | f
Imelda | f
Loredana | f
Milena | f
Nives | f
Ornella | f
