##japan
Name | g
Akie | f
Akika | f
Akiki | f
Akiko | f
Akima | f
Akimi | f
Akina | f
Akine | f
Akino | f
Akira | u
Akiri | f
Akiyo | f
Aki | u
Aoie | f
Aoika | f
Aoiki | f
Aoiko | f
Aoima | f
Aoimi | f
Aoina | f
Aoine | f
Aoino | f
Aoiri | f
Aoiyo | f
Aoi | u
Asuka | u
Chiaki | u
Chiee | f
Chieka | f
Chieki | f
Chieko | f
Chiema | f
Chiemi | f
Chiena | f
Chiene | f
Chieno | f
Chieri | f
Chieyo | f
Chiharu | u
Chihiro | u
Daihei | m
Daihiko | m
Daiichi | m
Daiji | m
Daiki | m
Daima | m
Daio | m
Dairo | m
Daishi | m
Daisuke | m
Daitaro | m
Daita | m
Daito | m
Daiya | m
Fumie | f
Fumika | f
Fumiki | f
Fumiko | f
Fumima | f
Fumimi | f
Fumina | f
Fumine | f
Fumino | f
Fumiri | f
Fumiyo | f
Hanae | f
Hanaka | f
Hanaki | f
Hanako | f
Hanama | f
Hanami | f
Hanana | f
Hanane | f
Hanano | f
Hanari | f
Hanayo | f
Harue | f
Haruhei | m
Haruhiko | m
Haruichi | m
Haruji | m
Haruka | f
Haruki | f
Haruko | f
Haruma | f
Harumi | f
Haruna | f
Harune | f
Haruno | f
Haruo | m
Haruri | f
Haruro | m
Harushi | m
Harusuke | m
Harutaro | m
Haruta | m
Haruto | m
Haruya | m
Haruyo | f
Haru | u
Hidehei | m
Hidehiko | m
Hideichi | m
Hideji | m
Hideki | m
Hidema | m
Hideo | m
Hidero | m
Hideshi | m
Hidesuke | m
Hidetaro | m
Hideta | m
Hideto | m
Hideya | m
Hikaru | u
Hinae | f
Hinaka | f
Hinaki | f
Hinako | f
Hinama | f
Hinami | f
Hinana | f
Hinane | f
Hinano | f
Hinari | f
Hinata | u
Hinayo | f
Hirohei | m
Hirohiko | m
Hiroichi | m
Hiroji | m
Hiroki | m
Hiroma | m
Hiromi | u
Hiroo | m
Hiroro | m
Hiroshi | m
Hirosuke | m
Hirotaro | m
Hirota | m
Hiroto | m
Hiroya | m
Ibuki | u
Jun | u
Kanae | f
Kanaka | f
Kanaki | f
Kanako | f
Kanama | f
Kanami | f
Kanana | f
Kanane | f
Kanano | f
Kanari | f
Kanayo | f
Kaoru | u
Kayo | u
Kazhei | m
Kazhiko | m
Kazichi | m
Kazji | m
Kazki | m
Kazma | m
Kazo | m
Kazro | m
Kazshi | m
Kazsuke | m
Kaztaro | m
Kazta | m
Kazto | m
Kazumi | u
Kazya | m
Kei | u
Kenhei | m
Kenhiko | m
Kenichi | m
Kenji | m
Kenki | m
Kenma | m
Keno | m
Kenro | m
Kenshi | m
Kensuke | m
Kentaro | m
Kenta | m
Kentohei | m
Kentohiko | m
Kentoichi | m
Kentoji | m
Kentoki | m
Kentoma | m
Kentoo | m
Kentoro | m
Kentoshi | m
Kentosuke | m
Kentotaro | m
Kentota | m
Kentoto | m
Kentoya | m
Kento | m
Kenya | m
Kimie | f
Kimika | f
Kimiki | f
Kimiko | f
Kimima | f
Kimimi | f
Kimina | f
Kimine | f
Kimino | f
Kimiri | f
Kimiyo | f
Kiri | u
Kohaku | u
Koharue | f
Koharuka | f
Koharuki | f
Koharuko | f
Koharuma | f
Koharumi | f
Koharuna | f
Koharune | f
Koharuno | f
Koharuri | f
Koharuyo | f
Kojihei | m
Kojihiko | m
Kojiichi | m
Kojiji | m
Kojiki | m
Kojima | m
Kojio | m
Kojiro | m
Kojishi | m
Kojisuke | m
Kojitaro | m
Kojita | m
Kojito | m
Kojiya | m
Kotoe | f
Kotoka | f
Kotoki | f
Kotoko | f
Kotoma | f
Kotomi | f
Kotona | f
Kotone | f
Kotono | f
Kotori | f
Kotoyo | f
Maie | f
Maika | f
Maiki | f
Maiko | f
Maima | f
Maimi | f
Maina | f
Maine | f
Maino | f
Mairi | f
Maiyo | f
Makoto | u
Masa | u
Mashei | m
Mashiko | m
Masichi | m
Masji | m
Maski | m
Masma | m
Maso | m
Masro | m
Masshi | m
Massuke | m
Mastaro | m
Masta | m
Masto | m
Masya | m
Meie | f
Meika | f
Meiki | f
Meiko | f
Meima | f
Meimi | f
Meina | f
Meine | f
Meino | f
Meiri | f
Meiyo | f
Michi | u
Mie | f
Mikae | f
Mikaka | f
Mikaki | f
Mikako | f
Mikama | f
Mikami | f
Mikana | f
Mikane | f
Mikano | f
Mikari | f
Mikayo | f
Mika | f
Miki | f
Miko | f
Mima | f
Mimi | f
Minato | u
Mina | f
Mine | f
Mino | f
Miri | f
Misao | u
Miyo | f
Mizuho | u
Momoe | f
Momoka | f
Momoki | f
Momoko | f
Momoma | f
Momomi | f
Momona | f
Momone | f
Momono | f
Momori | f
Momoyo | f
Mutsumi | u
Naokihei | m
Naokihiko | m
Naokiichi | m
Naokiji | m
Naokiki | m
Naokima | m
Naokio | m
Naokiro | m
Naokishi | m
Naokisuke | m
Naokitaro | m
Naokita | m
Naokito | m
Naokiya | m
Nao | u
Natsue | f
Natsuka | f
Natsuki | f
Natsuko | f
Natsuma | f
