##polish
Name | g
Jan | m
Andrzej | m
Andrzek | m
Andrzeus | m
Piotr | m
Pioek | m
Piotus | m
Krzysztof | m
Krzysztek | m
Krzysztous | m
Stanislaw | m
Stanislek | m
Stanislaus | m
Tomasz | m
Tomaek | m
Tomasus | m
Pawel | m
Pawek | m
Paweus | m
Jozef | m
Jozek | m
Jozeus | m
Marcin | m
Marcek | m
Marcius | m
Marek | m
Mareus | m
Michal | m
Michek | m
Michaus | m
Grzegorz | m
Grzegoek | m
Grzegorus | m
Jerzy | m
Jerek | m
Jerzus | m
Tadeusz | m
Tadeuek | m
Tadeusus | m
Adam | m
Adek | m
Adaus | m
Lukasz | m
Lukaek | m
Lukasus | m
Zbigniew | m
Zbigniek | m
Zbignieus | m
Ryszard | m
Ryszaek | m
Ryszarus | m
Dariusz | m
Dariuek | m
Dariusus | m
Henryk | m
Henrek | m
Henryus | m
Mariusz | m
Mariuek | m
Mariusus | m
Kazimierz | m
Kazimieek | m
Kazimierus | m
Wojciech | m
Wojcieek | m
Wojciecus | m
Robert | m
Robeek | m
Roberus | m
Mateusz | m
Mateuek | m
Mateusus | m
Marian | m
Mariek | m
Mariaus | m
Radoslaw | m
Radoslek | m
Radoslaus | m
Maciej | m
Maciek | m
Macieus | m
Jacek | m
Jaceus | m
Janusz | m
Januek | m
Janusus | m
Miroslaw | m
Miroslek | m
Miroslaus | m
Jaroslaw | m
Jaroslek | m
Jaroslaus | m
Sebastian | m
Sebastiek | m
Sebastiaus | m
Kamil | m
Kamek | m
Kamius | m
Roman | m
Romek | m
Romaus | m
Wladyslaw | m
Wladyslek | m
Wladyslaus | m
Jakub | m
Jakek | m
Jakuus | m
Artur | m
Artek | m
Artuus | m
Aleksander | m
Aleksandek | m
Aleksandeus | m
Zdzislaw | m
Zdzislek | m
Zdzislaus | m
Edward | m
Edwaek | m
Edwarus | m
Mieczyslaw | m
Mieczyslek | m
Mieczyslaus | m
Damian | m
Damiek | m
Damiaus | m
Dawid | m
Dawek | m
Dawius | m
Przemyslaw | m
Przemyslek | m
Przemyslaus | m
Daniel | m
Daniek | m
Danieus | m
Leszek | m
Leszeus | m
Waldemar | m
Waldemek | m
Waldemaus | m
Bernard | m
Bernaek | m
Bernarus | m
Stefan | m
Stefek | m
Stefaus | m
Ludwik | m
Ludwek | m
Ludwius | m
Karol | m
Karek | m
Karous | m
Waclaw | m
Waclek | m
Waclaus | m
Sylwester | m
Sylwestek | m
Sylwesteus | m
Krystian | m
Krystiek | m
Krystiaus | m
Dominik | m
Dominek | m
Dominius | m
Hubert | m
Hubeek | m
Huberus | m
Gabriel | m
Gabriek | m
Gabrieus | m
Konrad | m
Konrek | m
Konraus | m
Wiktor | m
Wiktek | m
Wiktous | m
Kacper | m
Kacpek | m
Kacpeus | m
Filip | m
Filek | m
Filius | m
Igor | m
Igek | m
Igous | m
Cezary | m
Cezaek | m
Cezarus | m
Norbert | m
Norbeek | m
Norberus | m
Patryk | m
Patrek | m
Patryus | m
Adrian | m
Adriek | m
Adriaus | m
Ignacy | m
Ignaek | m
Ignacus | m
Leon | m
Leek | m
Leous | m
Antoni | m
Antoek | m
Antonus | m
Franciszek | m
Franciszeus | m
Klemens | m
Klemeek | m
Klemenus | m
Julian | m
Juliek | m
Juliaus | m
Kajetan | m
Kajetek | m
Kajetaus | m
Maurycy | m
Mauryek | m
Maurycus | m
Kornel | m
Kornek | m
Korneus | m
Emil | m
Emek | m
Emius | m
Gustaw | m
Gustek | m
Gustaus | m
Borys | m
Borek | m
Boryus | m
Natan | m
Natek | m
Nataus | m
Olaf | m
Olek | m
Olaus | m
Bruno | m
Bruek | m
Brunus | m
Cyprian | m
Cypriek | m
Cypriaus | m
Eryk | m
Erek | m
Eryus | m
Ksawery | m
Ksaweek | m
Ksawerus | m
Seweryn | m
Sewerek | m
Seweryus | m
Zenon | m
Zenek | m
Zenous | m
Bronislaw | m
Bronislek | m
Bronislaus | m
Maria | f
Marika | f
Mariusia | f
Krystyna | f
Krystynka | f
Krystynusia | f
Anna | f
Annka | f
Annusia | f
Barbara | f
Barbarka | f
Barbarusia | f
Teresa | f
Tereska | f
Teresusia | f
Elzbieta | f
Elzbietka | f
Elzbietusia | f
Janina | f
Janinka | f
Janinusia | f
Danuta | f
Danutka | f
Danutusia | f
Zofia | f
Zofika | f
Zofiusia | f
Halina | f
Halinka | f
Halinusia | f
Irena | f
Irenka | f
Irenusia | f
Ewa | f
Helena | f
Helenka | f
Helenusia | f
Stanislawa | f
Stanislawka | f
Joanna | f
Joannka | f
Joannusia | f
