##russian
Name | g
Alexander | m
Alexandik | m
Alexandeka | m
Dmitry | m
Dmitik | m
Dmitrka | m
Sergey | m
Sergik | m
Sergeka | m
Andrey | m
Andrik | m
Andreka | m
Alexey | m
Alexik | m
Alexeka | m
Artyom | m
Artyik | m
Artyoka | m
Mikhail | m
Mikhaik | m
Mikhaika | m
Anton | m
Antik | m
Antoka | m
Vladimir | m
Vladimik | m
Vladimika | m
Maxim | m
Maxik | m
Maxika | m
Ivan | m
Ivik | m
Ivaka | m
Egor | m
Egik | m
Egoka | m
Kirill | m
Kiriik | m
Kirilka | m
Nikita | m
Nikiik | m
Nikitka | m
Ilya | m
Ilik | m
Ilyka | m
Yaroslav | m
Yaroslik | m
Yaroslaka | m
Denis | m
Denik | m
Denika | m
Roman | m
Romik | m
Romaka | m
Daniil | m
Daniik | m
Daniika | m
Vladislav | m
Vladislik | m
Vladislaka | m
Viktor | m
Viktik | m
Viktoka | m
Vyacheslav | m
Vyacheslik | m
Vyacheslaka | m
Oleg | m
Olik | m
Oleka | m
Yuri | m
Yuik | m
Yurka | m
Pavel | m
Pavik | m
Paveka | m
Nikolay | m
Nikolik | m
Nikolaka | m
Anatoly | m
Anatoik | m
Anatolka | m
Valery | m
Valeik | m
Valerka | m
Igor | m
Igik | m
Igoka | m
Konstantin | m
Konstantik | m
Konstantika | m
Grigory | m
Grigoik | m
Grigorka | m
Leonid | m
Leonik | m
Leonika | m
Stepan | m
Stepik | m
Stepaka | m
Semyon | m
Semyik | m
Semyoka | m
Timofey | m
Timofik | m
Timofeka | m
Fedor | m
Fedik | m
Fedoka | m
Gleb | m
Glik | m
Gleka | m
Boris | m
Borik | m
Borika | m
Arthur | m
Arthik | m
Arthuka | m
Vitaly | m
Vitaik | m
Vitalka | m
Arseny | m
Arseik | m
Arsenka | m
Vadim | m
Vadik | m
Vadika | m
Stanislav | m
Stanislik | m
Stanislaka | m
Albert | m
Albeik | m
Alberka | m
Eduard | m
Eduaik | m
Eduarka | m
Matvey | m
Matvik | m
Matveka | m
David | m
Davik | m
Davika | m
Zakhar | m
Zakhik | m
Zakhaka | m
Platon | m
Platik | m
Platoka | m
Savva | m
Savik | m
Savvka | m
Gennady | m
Gennaik | m
Gennadka | m
Arkady | m
Arkaik | m
Arkadka | m
Valentin | m
Valentik | m
Valentika | m
Yakov | m
Yakik | m
Yakoka | m
Mark | m
Maik | m
Marka | m
Savely | m
Saveik | m
Savelka | m
Lev | m
Demid | m
Demik | m
Demika | m
Tikhon | m
Tikhik | m
Tikhoka | m
Prokhor | m
Prokhik | m
Prokhoka | m
Gerasim | m
Gerasik | m
Gerasika | m
Lukyan | m
Lukyik | m
Lukyaka | m
Petr | m
Peik | m
Petka | m
Vasily | m
Vasiik | m
Vasilka | m
Svyatoslav | m
Svyatoslik | m
Svyatoslaka | m
Rostislav | m
Rostislik | m
Rostislaka | m
Vsevolod | m
Vsevolik | m
Vsevoloka | m
Miroslav | m
Miroslik | m
Miroslaka | m
Bogdan | m
Bogdik | m
Bogdaka | m
Ramil | m
Ramik | m
Ramika | m
Marat | m
Marik | m
Maraka | m
Ruslan | m
Ruslik | m
Ruslaka | m
Timur | m
Timik | m
Timuka | m
Renat | m
Renik | m
Renaka | m
Rustam | m
Rustik | m
Rustaka | m
Artur | m
Artik | m
Artuka | m
Vilen | m
Vilik | m
Vileka | m
Kim | m
Garry | m
Garik | m
Garrka | m
Nazar | m
Nazik | m
Nazaka | m
Gordey | m
Gordik | m
Gordeka | m
Radomir | m
Radomik | m
Radomika | m
Klim | m
Klik | m
Klika | m
Rodion | m
Rodiik | m
Rodioka | m
Taras | m
Tarik | m
Taraka | m
Demian | m
Demiik | m
Demiaka | m
Ignat | m
Ignik | m
Ignaka | m
Kuzma | m
Kuzik | m
Kuzmka | m
Makar | m
Makik | m
Makaka | m
Ostap | m
Ostik | m
Ostaka | m
Filipp | m
Filiik | m
Filipka | m
Khariton | m
Kharitik | m
Kharitoka | m
Elizar | m
Elizik | m
Elizaka | m
Naum | m
Naik | m
Nauka | m
Kondrat | m
Kondrik | m
Kondraka | m
Sava | m
Saik | m
Savka | m
Efim | m
Efik | m
Efika | m
Yulian | m
Yuliik | m
Yuliaka | m
German | m
Germik | m
Germaka | m
Sofia | f
Sofika | f
Sofusha | f
Maria | f
Marika | f
Marusha | f
Anna | f
Annka | f
Anusha | f
Alice | f
Alicka | f
Aliusha | f
Victoria | f
Victorika | f
Victorusha | f
Anastasia | f
Anastasika | f
Anastasusha | f
Polina | f
Polinka | f
Poliusha | f
Elizaveta | f
Elizavetka | f
Elizaveusha | f
Ekaterina | f
Ekaterinka | f
Ekateriusha | f
Ksenia | f
Ksenika | f
Ksenusha | f
Daria | f
Darika | f
Darusha | f
Alexandra | f
Alexandrka | f
Alexandusha | f
Veronika | f
Veronikka | f
Veroniusha | f
Arina | f
Arinka | f
Ariusha | f
Vasilisa | f
Vasiliska | f
Vasiliusha | f
Valeria | f
Valerika | f
Valerusha | f
Varvara | f
Varvarka | f
Varvausha | f
Ulyana | f
Ulyanka | f
Ulyausha | f
Tatiana | f
Tatianka | f
Tatiausha | f
Olga | f
Olgka | f
Olusha | f
Elena | f
Elenka | f
Eleusha | f
Natalia | f
Natalika | f
Natalusha | f
Svetlana | f
Svetlanka | f
Svetlausha | f
Irina | f
Irinka | f
Iriusha | f
Marina | f
Marinka | f
Mariusha | f
Yulia | f
Yulika | f
Yulusha | f
Nadezhda | f
Nadezhdka | f
Nadezhusha | f
Lyubov | f
Lyuboka | f
Lyubusha | f
Vera | f
Verka | f
Veusha | f
Galina | f
Galinka | f
Galiusha | f
Nina | f
Ninka | f
Niusha | f
Tamara | f
Tamarka | f
Tamausha | f
Ludmila | f
Ludmilka | f
Ludmiusha | f
Larisa | f
Lariska | f
Lariusha | f
Inna | f
Innka | f
Inusha | f
Alla | f
Allka | f
