##ukrainian
Name | g
Oleksandr | m
Oleksanyk | m
Oleksandko | m
Dmytro | m
Dmytyk | m
Dmytrko | m
Serhiy | m
Serhyk | m
Serhiko | m
Andriy | m
Andryk | m
Andriko | m
Oleksiy | m
Oleksyk | m
Oleksiko | m
Artem | m
Artyk | m
Arteko | m
Mykhailo | m
Mykhaiyk | m
Mykhailko | m
Anton | m
Antyk | m
Antoko | m
Volodymyr | m
Volodymyk | m
Volodymyko | m
Maksym | m
Maksyk | m
Maksyko | m
Ivan | m
Ivyk | m
Ivako | m
Yehor | m
Yehyk | m
Yehoko | m
Kyrylo | m
Kyryyk | m
Kyrylko | m
Mykyta | m
Mykyyk | m
Mykytko | m
Illia | m
Illyk | m
Illiko | m
Yaroslav | m
Yaroslyk | m
Yaroslako | m
Denys | m
Denyk | m
Denyko | m
Roman | m
Romyk | m
Romako | m
Danylo | m
Danyyk | m
Danylko | m
Vladyslav | m
Vladyslyk | m
Vladyslako | m
Viktor | m
Viktyk | m
Viktoko | m
Vyacheslav | m
Vyacheslyk | m
Vyacheslako | m
Oleh | m
Olyk | m
Oleko | m
Yuriy | m
Yuryk | m
Yuriko | m
Pavlo | m
Pavyk | m
Pavlko | m
Mykola | m
Mykoyk | m
Mykolko | m
Anatoliy | m
Anatolyk | m
Anatoliko | m
Valeriy | m
Valeryk | m
Valeriko | m
Ihor | m
Ihyk | m
Ihoko | m
Kostiantyn | m
Kostiantyk | m
Kostiantyko | m
Hryhoriy | m
Hryhoryk | m
Hryhoriko | m
Leonid | m
Leonyk | m
Leoniko | m
Stepan | m
Stepyk | m
Stepako | m
Semen | m
Semyk | m
Semeko | m
Tymofiy | m
Tymofyk | m
Tymofiko | m
Fedir | m
Fedyk | m
Fediko | m
Hlib | m
Hlyk | m
Hliko | m
Borys | m
Boryk | m
Boryko | m
Arthur | m
Arthyk | m
Arthuko | m
Vitaliy | m
Vitalyk | m
Vitaliko | m
Arsen | m
Arsyk | m
Arseko | m
Vadym | m
Vadyk | m
Vadyko | m
Stanislav | m
Stanislyk | m
Stanislako | m
Albert | m
Albeyk | m
Alberko | m
Eduard | m
Eduayk | m
Eduarko | m
Matviy | m
Matvyk | m
Matviko | m
Davyd | m
Davyk | m
Davyko | m
Zakhar | m
Zakhyk | m
Zakhako | m
Platon | m
Platyk | m
Platoko | m
Sava | m
Sayk | m
Savko | m
Hennadiy | m
Hennadyk | m
Hennadiko | m
Arkadiy | m
Arkadyk | m
Arkadiko | m
Valentyn | m
Valentyk | m
Valentyko | m
Yakiv | m
Yakyk | m
Yakiko | m
Marko | m
Maryk | m
Markko | m
Saveliy | m
Savelyk | m
Saveliko | m
Lev | m
Demyd | m
Demyk | m
Demyko | m
Tykhon | m
Tykhyk | m
Tykhoko | m
Prokhor | m
Prokhyk | m
Prokhoko | m
Petro | m
Petyk | m
Petrko | m
Vasyl | m
Vasyk | m
Vasyko | m
Svyatoslav | m
Svyatoslyk | m
Svyatoslako | m
Rostislav | m
Rostislyk | m
Rostislako | m
Vsevolod | m
Vsevolyk | m
Vsevoloko | m
Miroslav | m
Miroslyk | m
Miroslako | m
Bogdan | m
Bogdyk | m
Bogdako | m
Ostap | m
Ostyk | m
Ostako | m
Nazariy | m
Nazaryk | m
Nazariko | m
Hordiy | m
Hordyk | m
Hordiko | m
Radomyr | m
Radomyk | m
Radomyko | m
Klym | m
Klyk | m
Klyko | m
Rodion | m
Rodiyk | m
Rodioko | m
Taras | m
Taryk | m
Tarako | m
Demyan | m
Demyyk | m
Demyako | m
Hnat | m
Hnyk | m
Hnako | m
Kuzma | m
Kuzyk | m
Kuzmko | m
Makar | m
Makyk | m
Makako | m
Pylyp | m
Pylyk | m
Pylyko | m
Khariton | m
Kharityk | m
Kharitoko | m
Naum | m
Nayk | m
Nauko | m
Kondrat | m
Kondryk | m
Kondrako | m
Yukhym | m
Yukhyk | m
Yukhyko | m
Yulian | m
Yuliyk | m
Yuliako | m
Herman | m
Hermyk | m
Hermako | m
Sofia | f
Sofika | f
Sofusia | f
Mariia | f
Mariika | f
Mariusia | f
Anna | f
Annka | f
Anusia | f
Alisa | f
Aliska | f
Aliusia | f
Viktoriia | f
Viktoriika | f
Viktoriusia | f
Anastasiia | f
Anastasiika | f
Anastasiusia | f
Polina | f
Polinka | f
Poliusia | f
Yelyzaveta | f
Yelyzavetka | f
Yelyzaveusia | f
Kateryna | f
Katerynka | f
Kateryusia | f
Kseniia | f
Kseniika | f
Kseniusia | f
Daryna | f
Darynka | f
Daryusia | f
Oleksandra | f
Oleksandrka | f
Oleksandusia | f
Veronyka | f
Veronykka | f
Veronyusia | f
Iryna | f
Irynka | f
Iryusia | f
Maryna | f
Marynka | f
Maryusia | f
Yuliia | f
Yuliika | f
