##wild-west
Name | g
Abner | m
Amos | m
Bart | m
Bill | m
Billy | m
Bob | m
Buck | m
Buster | m
Butch | m
Cassidy | m
Clay | m
Cole | m
Colt | m
Dallas | m
Doc | m
Duke | m
Earl | m
Elias | m
Elmer | m
Emmett | m
Enoch | m
Frank | m
Gus | m
Hank | m
Homer | m
Ike | m
Jack | m
Jeb | m
Jed | m
Jedediah | m
Jesse | m
Jim | m
Jonas | m
Josiah | m
Kid | m
Lafayette | m
Levi | m
Luke | m
Luther | m
Marshall | m
Maverick | m
Milo | m
Ned | m
Otis | m
Owen | m
Pete | m
Red | m
Rufus | m
Sam | m
Samson | m
Seth | m
Silas | m
Slim | m
Tex | m
Thaddeus | m
Virgil | m
Wade | m
Webb | m
Wes | m
Wesley | m
Will | m
Wyatt | m
Zachariah | m
Zeb | m
Zebulon | m
Zeke | m
Caleb | m
Gideon | m
Ezekiel | m
Lucius | m
Jared | m
Orrin | m
Roy | m
Clint | m
Boone | m
Cade | m
Carson | m
Cody | m
Colton | m
Denver | m
Flint | m
Garrick | m
Houston | m
Hunter | m
Lane | m
Logan | m
Morgan | m
Ranger | m
Rider | m
Roper | m
Ryder | m
Sawyer | m
Tanner | m
Travis | m
Trenton | m
Weston | m
Walker | m
Wayne | m
Zack | m
Shane | m
Abigail | f
Ada | f
Alma | f
Almeda | f
Amanda | f
Annabelle | f
Belle | f
Bessie | f
Betsy | f
Calamity | f
Caroline | f
Cassie | f
Charity | f
Clara | f
Clementine | f
Cora | f
Della | f
Dolly | f
Dorothy | f
Edith | f
Effie | f
Eliza | f
Ella | f
Elspeth | f
Elvira | f
Emma | f
Etta | f
Eula | f
Eunice | f
Fanny | f
Flora | f
Florence | f
Gertrude | f
Gerty | f
Gladys | f
Grace | f
Hanna | f
Harriet | f
Hattie | f
Hazel | f
Ida | f
Imogene | f
Jane | f
Jennie | f
Jessie | f
Josephine | f
Jubilee | f
Laura | f
Lenora | f
Lettie | f
Lillian | f
Lillie | f
Lottie | f
Lucretia | f
Lucy | f
Lula | f
Lulu | f
Mabel | f
Mae | f
Maggie | f
Mamie | f
Martha | f
Mary | f
Maud | f
May | f
Mildred | f
Millie | f
Minnie | f
Molly | f
Myra | f
Myrtle | f
Nellie | f
Nettie | f
Nora | f
Ola | f
Ophelia | f
Pearl | f
Phebe | f
Prudence | f
Rebecca | f
Rhoda | f
Rose | f
Rosie | f
Ruby | f
Ruth | f
Sadie | f
Sally | f
Sarah | f
Selina | f
Sophronia | f
Stella | f
Susan | f
Susannah | f
Temperance | f
Tessie | f
Tilly | f
Verity | f
Viola | f
Willa | f
Winifred | f
Arizona | u
Babe | u
Bailey | u
Bobbie | u
Casey | u
Charley | u
Dakota | u
Dusty | u
Gale | u
Harley | u
Jody | u
Jordan | u
Kit | u
Lee | u
Lucky | u
Mickey | u
Montana | u
Oakley | u
Pat | u
Peyton | u
Phoenix | u
Quinn | u
Reese | u
Riley | u
Rusty | u
Sage | u
Sammy | u
Shiloh | u
Skyler | u
Sunny | u
Taylor | u
Toby | u
Trace | u
Tracy | u
Val | u
West | u
Cheyenne | u
Nevada | u
Sierra | u
Reno | u
Utah | u
Austin | u
Abilene | u
Bandit | u
Chance | u
Chief | u
Cinder | u
Copper | u
Grit | u
Justice | u
Liberty | u
Marshal | u
Merit | u
Pace | u
Pecos | u
Ringo | u
Rowdy | u
Sundance | u
Trigg | u
Wrangler | u
Apache | u
Banjo | u
Badger | u
Baxter | m
Bear | m
Beaver | m
Biff | m
Cactus | u
Carbine | m
Deputy | m
Fox | m
Gunner | m
Jasper | m
Laramie | u
Lobo | m
Mustang | u
Pike | m
Rodeo | u
Rustler | m
Scout | u
Sheriff | m
Spur | u
Stetson | u
Trapper | m
Trigger | u
Yuma | u
Benson | m
Gid | m
Elliot | m
Ford | m
Garrett | m
Oak | m
Ephraim | m
Ellwood | m
Jericho | m
Foster | m
Hoxie | m
Bentley | m
Barney | m
Clifford | m
